"id","company_id","license_id","created_on","deactivated_on","handbook_enabled","spanish_enabled"
"2515","2269830","50","1687788668271",,"1","0"
"2525","2269834","50","1687788669724",,"1","0"
"2541","2269842","50","1687788672380",,"1","0"
"2546","2269843","50","1687788672742",,"1","0"
"2551","2269844","50","1687788673184",,"1","0"
"2553","2269845","50","1687788673508",,"1","0"
"2555","2269846","50","1687788673811",,"1","0"
"2557","2269847","50","1687788674152",,"1","0"
"2559","2269848","50","1687788674475",,"1","0"
"2561","2269849","50","1687788674809",,"1","0"
"2565","2269851","50","1687788675596",,"1","0"
"2569","2269852","50","1687788675925",,"1","0"
"2576","2269855","50","1687788676654",,"1","0"
"2581","2269856","50","1687788676961",,"1","0"
"2587","2269858","50","1687788677579",,"1","0"
"2593","2269859","50","1687788678026",,"1","0"
"2595","2269860","50","1687788678327",,"1","0"
"2599","2269862","50","1687788679350",,"1","0"
"2601","2269863","50","1687788679707",,"1","0"
"2603","2269864","50","1687788680132",,"1","0"
"2605","2269865","50","1687788680446",,"1","0"
"2607","2269866","50","1687788680743",,"1","0"
"2612","2269868","50","1687788681099",,"1","0"
"2617","2269869","50","1687788681553",,"1","0"
"2619","2269870","50","1687788681872",,"1","0"
"2621","2269872","50","1687788682167",,"1","0"
"2629","2269875","50","1687788682919",,"1","0"
"2631","2269876","50","1687788683239",,"1","0"
"2633","2269877","50","1687788683531",,"1","0"
"2637","2269878","50","1687788683833",,"1","0"
"2642","2269879","50","1687788684279",,"1","0"
"2644","2269880","50","1687788684615",,"1","0"
"2646","2269881","50","1687788685013",,"1","0"
"2648","2269882","50","1687788685374",,"1","0"
"2650","2269883","50","1687788685710",,"1","0"
"2652","2269884","50","1687788685999",,"1","0"
"2656","2269885","50","1687788686452",,"1","0"
"2661","2269888","50","1687788686788",,"1","0"
"2666","2269889","50","1687788687174",,"1","0"
"2668","2269890","50","1687788687496",,"1","0"
"2688","2269897","50","1687788690040",,"1","0"
"2672","2269891","50","1687788687834",,"1","0"
"2692","2269898","50","1687788690425",,"1","0"
"2718","2269909","50","1687788692665",,"1","0"
"2674","2269892","50","1687788688312",,"1","0"
"2682","2269895","50","1687788689268",,"1","0"
"2714","2269908","50","1687788692271",,"1","0"
"2678","2269893","50","1687788688591",,"1","0"
"2680","2269894","50","1687788688902",,"1","0"
"2686","2269896","50","1687788689672",,"1","0"
"2694","2269900","50","1687788690746",,"1","0"
"2699","2269902","50","1687788691219",,"1","0"
"2726","2269911","50","1687788693266",,"1","0"
"2705","2269905","50","1687788691598",,"1","0"
"2722","2269910","50","1687788692962",,"1","0"
"2710","2269906","50","1687788691971",,"1","0"
"2734","2269914","50","1687788694173",,"1","0"
"2772","2269924","50","1687788698042",,"1","0"
"2785","2269927","50","1687788699087",,"1","0"
"2791","2269928","50","1687788699592",,"1","0"
"2811","2269932","50","1687788701120",,"1","0"
"2816","2269933","50","1687788701557",,"1","0"
"2818","2269934","50","1687788701918",,"1","0"
"2822","2269935","50","1687788702230",,"1","0"
"2827","2269936","50","1687788703011",,"1","0"
"2831","2269937","50","1687788703335",,"1","0"
"2835","2269938","50","1687788703679",,"1","0"
"2839","2269939","50","1687788704038",,"1","0"
"2851","1721156","50","1687789151173",,"1","0"
"2861","1723360","50","1687789152916",,"1","0"
"2888","1727644","50","1687789155879",,"1","0"
"2909","1731323","50","1687789158814",,"1","0"
"2956","1737001","50","1687789163687",,"1","0"
"2903","1729851","50","1687789158386",,"1","0"
"2915","1731350","50","1687789159118",,"1","0"
"2921","1732240","50","1687789159629",,"1","0"
"2966","1737423","50","1687789164716",,"1","0"
"2985","1738313","50","1687789166797",,"1","0"
"3036","1745658","50","1687789173067",,"1","0"
"3057","1778720","50","1687789175917",,"1","0"
"3059","1780918","50","1687789176214",,"1","0"
"3068","1783649","50","1687789177085",,"1","0"
"3074","1783656","50","1687789177540",,"1","0"
"11215","2566498","50","1712034738715",,"1","0"
"11212","2269854","50","1712034634216",,"1","0"
"11221","3441759","50","1712034750727",,"1","0"
"11228","3441759","105","1712034750727",,"0","0"
"11211","2269841","105","1712034630620",,"0","0"
"11257","2269794","105","1712293792757",,"0","0"
"11248","2269813","105","1712293700111",,"0","0"
